,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,Seasonnum
4523,Cristiano Felício,C,24,CHI,66,1040,15.3,.603,.000,.421,12.8,19.5,16.1,5.7,1.2,1.3,11.2,12.4,2.1,1.3,3.4,.158,-0.6,-0.1,-0.7,0.3,2016-2017,2.0
4524,Cristiano Felício,C,25,CHI,55,977,12.5,.614,.009,.377,8.8,17.1,12.8,8.4,0.8,1.0,17.7,13.6,1.2,0.5,1.7,.086,-2.8,-1.1,-3.9,-0.5,2017-2018,3.0
4525,Cristiano Felício,C,26,CHI,60,746,13.4,.568,.022,.408,11.4,20.5,15.9,7.2,0.7,0.8,13.5,14.3,0.9,0.4,1.4,.088,-2.0,-2.1,-4.1,-0.4,2018-2019,4.0
4526,Cristiano Felício,C,27,CHI,22,386,12.8,.671,.037,.426,15.0,14.1,14.6,5.7,1.2,0.5,21.9,9.1,0.7,0.3,1.0,.126,-1.4,-1.7,-3.1,-0.1,2019-2020,5.0
4535,Curtis Perry,C,22,SDR,18,100,12.9,.467,,.417,,,13.1,7.3,,,,,0.0,0.2,0.2,.087,,,,,1970-1971,1.0
4536,Curtis Perry,C,23,TOT,75,1826,8.5,.407,,.245,,,15.5,6.4,,,,,-1.8,3.0,1.3,.033,,,,,1971-1972,2.0
4537,Curtis Perry,PF,24,MIL,67,2094,12.0,.486,,.219,,,14.9,7.1,,,,,1.0,3.8,4.8,.111,,,,,1972-1973,3.0
4538,Curtis Perry,PF,25,MIL,81,2386,13.2,.462,,.184,11.1,18.4,15.0,9.5,2.0,2.1,,,0.7,4.6,5.3,.106,-1.0,1.5,0.5,1.5,1973-1974,4.0
4539,Curtis Perry,PF,26,PHO,79,2688,17.1,.514,,.279,13.1,23.0,18.0,10.0,1.8,1.6,,,3.8,3.7,7.6,.135,1.2,0.3,1.4,2.3,1974-1975,5.0
4543,Curtis Rowe,PF,22,DET,82,2661,12.3,.501,,.358,,,12.5,5.0,,,,,1.8,0.4,2.3,.041,,,,,1971-1972,1.0
4544,Curtis Rowe,PF,23,DET,81,3009,15.6,.545,,.311,,,12.3,7.7,,,,,5.7,2.5,8.3,.132,,,,,1972-1973,2.0
4545,Curtis Rowe,PF,24,DET,82,2499,12.2,.521,,.220,6.9,14.3,10.6,7.5,0.9,0.8,,,3.0,3.1,6.1,.117,0.0,-0.1,-0.1,1.2,1973-1974,3.0
4546,Curtis Rowe,PF,25,DET,82,2787,13.0,.521,,.260,6.9,16.1,11.5,6.4,0.9,0.9,,,3.6,1.6,5.2,.090,0.1,-1.3,-1.2,0.6,1974-1975,4.0
4547,Curtis Rowe,PF,26,DET,80,2998,14.7,.513,,.311,7.8,16.3,12.0,8.5,0.7,0.8,,,4.5,1.7,6.2,.099,1.1,-1.4,-0.3,1.3,1975-1976,5.0
4551,Cuttino Mobley,PG,23,HOU,49,1456,12.2,.537,.365,.272,1.9,6.7,4.5,13.7,1.6,1.1,14.8,17.2,1.6,0.8,2.3,.077,-0.6,-0.4,-1.1,0.4,1998-1999,1.0
4552,Cuttino Mobley,SG,24,HOU,81,2496,16.0,.545,.287,.347,2.7,10.1,6.5,14.3,1.8,0.8,13.7,23.9,3.6,1.6,5.2,.099,0.7,-0.8,-0.1,1.2,1999-2000,2.0
4553,Cuttino Mobley,SG,25,HOU,79,3002,17.7,.541,.208,.390,3.3,11.8,7.7,11.5,1.5,0.6,10.4,24.3,6.2,2.0,8.2,.130,1.7,-0.8,0.9,2.2,2000-2001,3.0
4554,Cuttino Mobley,SG,26,HOU,74,3116,16.7,.537,.278,.231,2.3,8.8,5.5,11.6,1.9,0.8,10.7,24.9,4.6,1.1,5.7,.087,1.1,-0.8,0.3,1.8,2001-2002,4.0
4555,Cuttino Mobley,SG,27,HOU,73,3044,14.7,.537,.298,.264,2.7,8.6,5.7,12.2,1.7,0.8,12.2,20.6,4.5,2.5,6.9,.109,0.5,-0.2,0.2,1.7,2002-2003,5.0
4562,D'Angelo Russell,PG,19,LAL,80,2259,13.2,.507,.387,.199,2.2,11.2,6.5,21.2,2.1,0.5,15.9,24.1,-0.7,0.7,0.0,.001,-0.7,-1.6,-2.3,-0.1,2015-2016,1.0
4563,D'Angelo Russell,PG,20,LAL,63,1811,15.3,.518,.443,.217,1.8,11.9,6.7,26.8,2.3,0.7,15.6,26.6,0.3,1.0,1.3,.033,0.7,-1.5,-0.8,0.6,2016-2017,2.0
4564,D'Angelo Russell,PG,21,BRK,48,1234,15.2,.509,.414,.195,2.6,13.8,8.1,35.7,1.4,1.0,16.8,30.8,-0.5,0.9,0.4,.014,0.8,-2.0,-1.2,0.3,2017-2018,3.0
4565,D'Angelo Russell,PG,22,BRK,81,2448,19.4,.533,.419,.135,2.3,11.2,6.8,41.3,1.9,0.6,13.6,31.9,2.4,2.6,5.0,.097,4.0,-0.6,3.4,3.4,2018-2019,4.0
4566,D'Angelo Russell,PG,23,TOT,45,1452,18.7,.556,.509,.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,1.1,0.7,1.8,.060,3.8,-1.9,1.9,1.4,2019-2020,5.0
4570,D.J. Augustin,PG,21,CHA,72,1908,14.9,.587,.396,.375,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,3.6,1.5,5.1,.128,1.4,-0.5,0.9,1.4,2008-2009,1.0
4571,D.J. Augustin,PG,22,CHA,80,1472,11.2,.516,.409,.301,0.9,6.9,4.0,21.7,1.6,0.3,13.1,17.9,1.1,1.7,2.8,.092,-1.5,0.3,-1.1,0.3,2009-2010,2.0
4572,D.J. Augustin,PG,23,CHA,82,2757,15.9,.541,.348,.310,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,4.9,1.3,6.2,.108,1.7,-1.6,0.1,1.5,2010-2011,3.0
4573,D.J. Augustin,PG,24,CHA,48,1408,14.1,.493,.368,.246,1.9,7.2,4.4,38.9,1.3,0.1,16.9,21.3,0.7,-0.2,0.5,.018,0.7,-3.2,-2.5,-0.2,2011-2012,4.0
4574,D.J. Augustin,PG,25,IND,76,1226,11.0,.527,.646,.337,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,1.4,1.5,2.8,.112,-0.7,0.1,-0.6,0.5,2012-2013,5.0
4585,D.J. Mbenga,C,24,DAL,15,58,3.8,.476,.000,.286,5.9,9.4,7.7,0.0,0.0,6.4,24.1,16.0,-0.1,0.1,0.0,-0.029,-9.2,-0.4,-9.6,-0.1,2004-2005,1.0
4586,D.J. Mbenga,C,25,DAL,43,237,13.4,.538,.017,.333,9.8,18.4,14.2,1.4,1.4,8.1,18.9,16.7,0.0,0.4,0.5,.092,-4.7,2.1,-2.6,0.0,2005-2006,2.0
4587,D.J. Mbenga,C,26,DAL,21,79,7.2,.435,.000,.500,4.7,11.9,8.4,10.9,2.0,4.8,20.4,14.5,-0.1,0.1,0.1,.055,-6.5,2.8,-3.7,0.0,2006-2007,3.0
4588,D.J. Mbenga,C,27,TOT,42,326,9.4,.465,.000,.143,9.4,14.7,12.1,4.3,1.1,5.8,11.8,13.5,0.0,0.4,0.4,.066,-5.7,0.4,-5.3,-0.3,2007-2008,4.0
4589,D.J. Mbenga,C,28,LAL,23,181,13.9,.504,.018,.140,5.7,13.6,9.7,7.2,2.8,10.2,17.7,17.8,-0.1,0.4,0.3,.091,-5.0,4.4,-0.6,0.1,2008-2009,5.0
4595,D.J. White,PF,22,OKC,7,130,19.8,.556,.000,.260,8.7,19.8,14.2,8.3,1.2,2.8,5.1,20.0,0.3,0.1,0.4,.157,0.7,-0.3,0.4,0.1,2008-2009,1.0
4596,D.J. White,PF,23,OKC,12,102,25.9,.650,.000,.244,11.6,14.2,12.9,7.4,2.5,2.2,6.2,21.3,0.4,0.2,0.6,.276,4.4,2.0,6.4,0.2,2009-2010,2.0
4597,D.J. White,C-PF,24,TOT,47,685,15.3,.542,.009,.292,7.6,20.0,13.8,4.9,0.9,2.3,5.4,17.7,1.1,0.7,1.8,.128,-0.6,-0.5,-1.1,0.2,2010-2011,3.0
4598,D.J. White,PF,25,CHA,58,1098,12.4,.516,.003,.173,5.0,17.2,10.9,8.1,0.8,1.6,10.2,17.8,0.5,0.3,0.8,.034,-2.3,-1.5,-3.8,-0.5,2011-2012,4.0
4599,D.J. White,PF,26,BOS,12,86,14.7,.538,.000,.391,5.7,12.0,8.9,7.5,0.6,5.5,6.9,15.9,0.1,0.1,0.2,.117,-0.6,-0.3,-0.9,0.0,2012-2013,5.0
4601,D.J. Wilson,PF,21,MIL,22,71,10.3,.622,.313,.125,3.3,13.2,8.3,6.1,2.1,1.2,19.2,13.3,0.0,0.1,0.1,.054,-2.0,0.0,-2.0,0.0,2017-2018,1.0
4602,D.J. Wilson,PF,22,MIL,48,882,10.3,.515,.506,.187,5.5,19.2,12.8,7.6,0.9,1.9,10.5,14.4,0.3,1.4,1.7,.093,-2.4,0.2,-2.2,0.0,2018-2019,2.0
4603,D.J. Wilson,PF,23,MIL,37,363,8.2,.475,.553,.136,3.5,20.5,12.5,9.1,0.4,1.2,12.0,18.1,-0.3,0.6,0.3,.046,-4.1,0.0,-4.0,-0.2,2019-2020,3.0
4604,D.J. Wilson,PF,24,TOT,35,433,11.5,.511,.518,.149,4.8,23.2,13.7,7.9,1.2,3.3,10.9,19.7,-0.2,0.5,0.3,.032,-2.7,-0.6,-3.3,-0.1,2020-2021,4.0
