,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,Seasonnum
0,A.C. Green,PF,22,LAL,82,1542,11.8,.564,.015,.430,12.4,15.5,14.0,4.2,1.5,1.7,17.7,14.7,1.4,2.0,3.3,.103,-1.6,0.1,-1.6,0.2,1985-1986,1.0
1,A.C. Green,PF,23,LAL,79,2240,15.7,.599,.009,.480,11.2,18.8,15.3,4.6,1.5,2.0,12.5,14.7,4.3,3.3,7.6,.163,0.9,0.1,1.0,1.7,1986-1987,2.0
2,A.C. Green,PF,24,LAL,82,2636,14.5,.581,.003,.592,11.1,19.1,15.3,4.5,1.6,1.0,12.9,14.7,4.5,3.4,7.9,.144,0.4,-0.1,0.3,1.5,1987-1988,3.0
3,A.C. Green,PF,25,LAL,82,2510,17.8,.594,.022,.474,12.3,20.0,16.4,5.5,1.8,1.2,11.5,17.0,5.8,3.5,9.4,.179,1.8,-0.2,1.6,2.3,1988-1989,4.0
4,A.C. Green,PF,26,LAL,82,2709,14.7,.548,.057,.459,11.5,18.4,15.1,4.6,1.2,1.1,10.7,17.1,4.4,3.3,7.7,.137,0.3,-0.9,-0.6,1.0,1989-1990,5.0
23,A.J. Price,PG,23,IND,56,865,14.0,.530,.492,.212,1.5,9.7,5.6,20.5,2.0,0.2,13.2,22.7,0.4,0.8,1.2,.065,-0.1,-0.4,-0.5,0.3,2009-2010,1.0
24,A.J. Price,PG,24,IND,50,795,10.7,.454,.466,.253,2.3,7.8,5.0,22.7,1.8,0.1,13.0,22.7,-0.4,0.7,0.3,.020,-1.9,-1.1,-2.9,-0.2,2010-2011,2.0
25,A.J. Price,PG,25,IND,44,568,11.5,.454,.506,.201,2.6,9.4,6.0,23.9,1.9,0.3,14.5,17.7,0.2,0.5,0.7,.063,-0.6,-0.5,-1.0,0.1,2011-2012,3.0
26,A.J. Price,PG,26,WAS,57,1278,12.4,.501,.484,.150,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18.0,1.0,1.2,2.2,.084,-0.2,-0.4,-0.6,0.5,2012-2013,4.0
27,A.J. Price,SG,27,MIN,28,99,9.7,.469,.478,.043,1.1,10.2,5.5,21.5,0.5,0.0,13.0,23.2,-0.1,0.0,0.0,-0.012,-2.4,-2.4,-4.8,-0.1,2013-2014,5.0
31,Aaron Brooks,PG,23,HOU,51,608,13.1,.535,.484,.218,2.5,7.9,5.2,23.5,1.1,0.6,15.1,21.8,0.6,0.8,1.4,.112,-0.5,0.2,-0.2,0.3,2007-2008,1.0
32,Aaron Brooks,PG,24,HOU,80,1998,12.9,.521,.395,.220,2.0,7.0,4.6,20.2,1.2,0.3,12.7,22.9,1.4,2.2,3.6,.086,-0.3,-0.6,-0.9,0.6,2008-2009,2.0
33,Aaron Brooks,PG,25,HOU,82,2919,16.0,.549,.394,.224,2.0,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,.091,2.3,-1.6,0.7,1.9,2009-2010,3.0
34,Aaron Brooks,PG,26,TOT,59,1284,13.1,.489,.402,.239,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,0.7,0.4,1.1,.040,-0.3,-2.7,-3.0,-0.3,2010-2011,4.0
35,Aaron Brooks,PG,28,HOU,7,38,5.6,.385,.538,.000,3.0,3.0,3.0,23.1,1.3,6.0,23.5,19.6,-0.1,0.0,0.0,-0.063,-4.1,0.1,-4.0,0.0,2012-2013,5.0
41,Aaron Gordon,PF,19,ORL,47,797,11.4,.517,.231,.293,6.4,17.8,12.0,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1.0,.060,-2.6,-0.1,-2.7,-0.2,2014-2015,1.0
42,Aaron Gordon,PF,20,ORL,78,1863,17.0,.541,.245,.333,9.0,21.3,15.1,10.3,1.6,2.4,9.0,17.3,3.2,2.2,5.4,.139,0.9,0.1,1.0,1.4,2015-2016,2.0
43,Aaron Gordon,SF,21,ORL,80,2298,14.5,.530,.309,.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2.0,1.7,3.7,.077,-0.3,-0.7,-1.0,0.6,2016-2017,3.0
44,Aaron Gordon,PF,22,ORL,58,1909,16.5,.530,.395,.260,5.0,21.5,13.2,11.7,1.5,1.9,10.0,24.7,0.9,2.0,2.9,.072,0.9,-0.6,0.3,1.1,2017-2018,4.0
45,Aaron Gordon,PF,23,ORL,78,2633,15.1,.538,.332,.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,.093,0.3,0.3,0.6,1.7,2018-2019,5.0
49,Aaron Gray,C,23,CHI,61,613,13.9,.529,.005,.485,12.5,18.7,15.5,11.4,1.8,2.0,18.7,22.0,0.1,0.8,0.8,.066,-3.6,0.0,-3.5,-0.2,2007-2008,1.0
50,Aaron Gray,C,24,CHI,56,715,11.5,.508,.006,.353,13.5,21.7,17.6,9.6,1.0,1.8,17.2,14.5,0.5,0.8,1.3,.086,-3.2,-0.1,-3.4,-0.2,2008-2009,2.0
51,Aaron Gray,C,25,CHI,8,50,7.0,.374,.000,.333,11.3,24.1,17.8,6.5,0.0,0.0,4.0,22.5,-0.1,0.1,0.0,-0.013,-5.5,-3.2,-8.7,-0.1,2009-2010,3.0
52,Aaron Gray,C,26,NOH,41,531,11.0,.566,.000,.343,13.4,25.8,19.6,4.7,1.1,1.9,21.9,13.1,0.3,0.8,1.1,.100,-3.9,-0.2,-4.0,-0.3,2010-2011,4.0
53,Aaron Gray,C,27,TOR,49,813,11.1,.526,.000,.292,12.1,28.3,20.3,5.5,1.5,1.7,21.9,13.5,0.1,1.3,1.4,.082,-3.6,0.1,-3.5,-0.3,2011-2012,5.0
65,Aaron James,SF,22,NOJ,76,1731,14.4,.516,,.244,7.8,13.5,10.6,6.1,1.0,0.5,,,1.8,1.1,2.9,.080,-0.6,-1.6,-2.2,-0.1,1974-1975,1.0
66,Aaron James,SF,23,NOJ,75,1346,13.7,.495,,.343,6.8,11.6,9.2,6.8,1.1,0.2,,,1.0,1.2,2.2,.079,-1.1,-1.5,-2.6,-0.2,1975-1976,2.0
67,Aaron James,SF,24,NOJ,52,1059,14.4,.527,,.235,5.2,11.7,8.5,8.0,0.8,0.2,,,1.3,0.8,2.1,.095,-0.4,-1.3,-1.7,0.1,1976-1977,3.0
68,Aaron James,SF,25,NOJ,80,2118,13.3,.523,,.182,7.5,11.5,9.5,7.6,0.8,0.5,12.3,19.0,2.7,1.5,4.3,.096,-0.7,-1.0,-1.7,0.1,1977-1978,4.0
69,Aaron James,SF,26,NOJ,73,1417,12.7,.526,,.222,6.9,10.1,8.6,8.2,0.9,0.7,13.8,21.6,1.0,0.7,1.7,.057,-1.8,-1.7,-3.5,-0.5,1978-1979,5.0
70,Aaron McKie,SG,22,POR,45,827,13.3,.500,.107,.280,4.6,13.5,8.8,15.9,2.2,1.4,11.7,17.0,0.8,1.2,2.0,.115,-1.4,1.7,0.3,0.5,1994-1995,1.0
71,Aaron McKie,SG,23,POR,81,2259,13.4,.534,.162,.276,4.4,10.9,7.7,14.6,2.1,0.7,14.3,18.3,2.1,3.2,5.3,.113,-1.3,1.7,0.4,1.4,1995-1996,2.0
72,Aaron McKie,SG,24,TOT,83,1625,12.1,.524,.282,.301,3.1,13.2,8.3,15.4,2.6,1.1,17.9,14.7,1.0,2.4,3.5,.103,-1.1,2.0,0.9,1.2,1996-1997,3.0
73,Aaron McKie,SG-SF,25,TOT,81,1813,8.6,.410,.165,.144,3.7,11.2,7.4,15.0,3.0,0.5,15.8,12.0,-0.7,2.0,1.4,.036,-3.5,2.0,-1.5,0.2,1997-1998,4.0
74,Aaron McKie,SG,26,PHI,50,959,11.4,.454,.131,.262,3.2,14.0,8.5,17.9,3.6,0.2,17.7,15.2,-0.1,1.7,1.6,.082,-2.9,2.5,-0.4,0.4,1998-1999,5.0
88,Aaron Williams,PF,22,UTA,6,12,-7.0,.237,.000,.125,9.8,19.0,14.4,13.0,0.0,0.0,10.6,34.8,-0.1,0.0,-0.1,-0.327,-17.6,-6.3,-23.9,-0.1,1993-1994,1.0
89,Aaron Williams,PF,23,MIL,15,72,7.0,.410,.042,.500,8.1,24.1,15.9,0.0,1.4,6.2,19.3,22.3,-0.2,0.1,-0.1,-0.067,-8.7,-0.3,-9.0,-0.1,1994-1995,2.0
90,Aaron Williams,PF-C,25,TOT,33,563,16.4,.599,.007,.331,12.6,16.9,14.7,4.7,1.5,3.9,15.9,16.6,0.7,0.4,1.1,.098,-1.0,-0.6,-1.6,0.1,1996-1997,3.0
91,Aaron Williams,PF,26,SEA,65,757,13.4,.575,.005,.386,7.7,15.4,11.6,3.0,1.3,3.8,16.3,18.8,0.7,1.0,1.7,.105,-3.1,-0.2,-3.3,-0.2,1997-1998,4.0
92,Aaron Williams,PF,27,SEA,40,458,15.2,.508,.008,.602,13.4,18.9,16.1,7.8,1.6,3.9,16.2,18.4,0.6,0.4,1.1,.110,-1.7,0.1,-1.6,0.0,1998-1999,5.0
102,Abdel Nader,SF,24,BOS,48,522,5.1,.439,.436,.262,2.8,12.0,7.4,7.1,1.4,1.6,17.0,17.1,-0.9,0.8,-0.1,-0.014,-5.5,0.2,-5.3,-0.4,2017-2018,1.0
103,Abdel Nader,SF,25,OKC,61,694,8.8,.522,.465,.167,2.0,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0.0,0.9,0.9,.062,-3.6,0.3,-3.2,-0.2,2018-2019,2.0
104,Abdel Nader,SF,26,OKC,55,867,11.3,.591,.487,.251,1.8,10.6,6.4,6.4,1.3,2.0,12.8,17.0,0.5,0.9,1.3,.074,-1.2,0.2,-1.0,0.2,2019-2020,3.0
105,Abdel Nader,SF,27,PHO,24,355,13.4,.605,.371,.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19.0,0.3,0.4,0.7,.095,-1.0,1.0,0.0,0.2,2020-2021,4.0
106,Abdel Nader,SF,28,PHO,14,145,4.9,.431,.400,.286,3.0,16.6,10.0,5.9,2.7,2.5,21.8,15.0,-0.3,0.3,0.0,-0.009,-7.1,2.2,-5.0,-0.1,2021-2022,5.0
118,Adam Keefe,PF,22,ATL,82,1549,13.6,.564,.003,.630,11.8,19.5,15.5,7.0,1.8,0.7,17.2,15.5,1.9,1.4,3.3,.102,-1.6,-0.6,-2.2,-0.1,1992-1993,1.0
119,Adam Keefe,PF,23,ATL,63,763,12.0,.521,.000,.521,11.1,17.9,14.5,6.4,1.3,0.8,18.6,18.1,0.3,1.1,1.4,.091,-2.9,-0.6,-3.5,-0.3,1993-1994,2.0
120,Adam Keefe,SF,24,UTA,75,1270,15.1,.616,.000,.581,14.0,18.0,16.1,3.5,1.5,1.6,14.2,15.6,2.4,1.7,4.1,.154,0.2,-0.6,-0.4,0.5,1994-1995,3.0
121,Adam Keefe,PF,25,UTA,82,1708,13.8,.574,.012,.581,13.0,19.5,16.3,5.5,1.6,2.0,16.8,14.0,2.3,2.3,4.6,.130,-0.5,0.0,-0.6,0.6,1995-1996,4.0
122,Adam Keefe,C,26,UTA,62,915,11.7,.572,.006,.644,10.9,18.2,14.7,5.0,1.7,1.2,18.0,12.7,1.0,1.3,2.3,.118,-1.3,0.3,-1.0,0.2,1996-1997,5.0
135,Adonal Foyle,C,22,GSW,55,656,9.2,.418,.006,.365,11.5,18.6,15.0,3.5,1.0,5.4,20.2,16.4,-1.0,0.9,-0.1,-0.009,-5.9,0.5,-5.3,-0.6,1997-1998,1.0
136,Adonal Foyle,C,23,GSW,44,614,12.3,.450,.000,.421,13.5,20.5,16.9,4.7,1.3,5.2,17.8,12.6,0.1,1.0,1.1,.087,-2.8,1.5,-1.3,0.1,1998-1999,2.0
137,Adonal Foyle,C,24,GSW,76,1654,12.3,.500,.000,.237,10.4,16.9,13.5,4.0,0.8,5.8,14.5,12.5,0.7,1.2,1.9,.055,-2.8,-0.1,-2.9,-0.4,1999-2000,3.0
138,Adonal Foyle,C,25,GSW,58,1457,12.4,.422,.000,.181,10.5,19.7,14.7,5.2,1.1,7.6,16.3,14.0,-0.8,1.5,0.7,.022,-3.6,0.8,-2.8,-0.3,2000-2001,4.0
139,Adonal Foyle,C,26,GSW,79,1485,12.5,.445,.000,.242,10.6,17.3,13.9,4.3,1.2,7.7,15.1,14.2,-0.4,1.6,1.2,.039,-3.0,1.0,-2.1,0.0,2001-2002,5.0
158,Adrian Caldwell,PF,23,HOU,51,331,9.5,.549,.000,.368,11.7,22.9,17.4,2.8,1.6,3.2,26.6,14.8,-0.3,0.7,0.4,.061,-5.3,1.4,-4.0,-0.2,1989-1990,1.0
159,Adrian Caldwell,PF,24,HOU,42,343,8.6,.426,.012,.205,13.4,17.6,15.5,3.1,2.7,1.7,24.9,14.4,-0.5,0.7,0.1,.021,-4.4,1.2,-3.1,-0.1,1990-1991,2.0
160,Adrian Caldwell,PF,28,HOU,7,30,4.4,.377,.000,1.500,4.0,32.8,19.1,0.0,1.7,0.0,13.1,11.4,0.0,0.1,0.0,.020,-7.8,0.7,-7.2,0.0,1994-1995,3.0
161,Adrian Caldwell,PF,29,IND,51,327,10.4,.556,.000,.434,16.6,25.2,21.0,3.0,1.5,1.2,26.2,18.8,-0.2,0.5,0.3,.044,-5.1,-0.7,-5.8,-0.3,1995-1996,4.0
162,Adrian Caldwell,PF,30,TOT,45,569,7.5,.443,.022,.543,10.7,21.6,16.0,3.1,1.4,1.0,19.7,10.6,-0.2,0.4,0.2,.016,-5.6,-1.3,-6.9,-0.7,1996-1997,5.0
164,Adrian Dantley*,SF,21,BUF,77,2816,18.3,.601,,.556,8.9,12.1,10.5,7.7,1.4,0.3,,,8.2,1.6,9.8,.167,2.7,-1.1,1.6,2.5,1976-1977,1.0
165,Adrian Dantley*,SF,22,TOT,79,2933,20.9,.595,,.603,9.2,12.0,10.6,11.8,1.8,0.4,13.8,21.7,9.6,2.5,12.2,.199,3.9,-0.4,3.5,4.1,1977-1978,2.0
166,Adrian Dantley*,SF,23,LAL,60,1775,18.4,.589,,.467,8.5,12.2,10.5,10.3,1.6,0.3,14.9,23.4,4.0,1.6,5.7,.153,1.7,-1.2,0.5,1.1,1978-1979,3.0
167,Adrian Dantley*,SF,24,UTA,68,2674,24.3,.635,.002,.415,8.3,14.0,11.3,12.3,1.8,0.3,13.5,27.8,9.5,1.1,10.5,.189,5.3,-1.6,3.7,3.8,1979-1980,4.0
168,Adrian Dantley*,SF,25,UTA,80,3417,24.3,.622,.004,.482,6.5,10.5,8.5,16.3,1.6,0.3,12.5,28.4,12.3,1.3,13.6,.191,5.7,-1.4,4.3,5.4,1980-1981,5.0
179,Adrian Griffin,SG,25,BOS,72,1927,12.6,.503,.138,.383,7.2,15.2,11.0,13.4,3.1,0.6,16.2,13.0,1.8,2.1,3.9,.098,-0.9,1.4,0.6,1.3,1999-2000,1.0
180,Adrian Griffin,SF,26,BOS,44,377,10.5,.432,.268,.247,8.0,19.4,13.5,11.7,2.5,1.0,14.3,15.1,0.0,0.5,0.4,.056,-2.5,0.1,-2.4,0.0,2000-2001,2.0
181,Adrian Griffin,SG,27,DAL,58,1383,14.2,.545,.150,.136,5.6,12.7,9.2,11.3,2.8,0.6,9.9,13.8,2.3,1.2,3.5,.121,-0.3,1.6,1.3,1.1,2001-2002,3.0
182,Adrian Griffin,SG,28,DAL,74,1373,11.5,.463,.071,.095,7.1,14.1,10.6,11.0,2.9,0.3,11.8,13.2,0.9,1.9,2.9,.100,-2.1,1.8,-0.3,0.6,2002-2003,4.0
183,Adrian Griffin,SG,29,HOU,19,133,4.5,.278,.111,.222,0.9,15.2,8.4,11.6,2.9,1.2,13.2,8.2,-0.2,0.2,0.1,.031,-6.3,4.4,-1.9,0.0,2003-2004,5.0
188,Adrian Smith,SG,25,CIN,80,1462,11.1,.483,,.445,,,,,,,,,1.4,0.5,1.8,.061,,,,,1961-1962,1.0
189,Adrian Smith,SG,26,CIN,79,1522,13.1,.530,,.506,,,,,,,,,2.7,0.7,3.4,.107,,,,,1962-1963,2.0
190,Adrian Smith,SG,27,CIN,66,1524,10.7,.469,,.342,,,,,,,,,0.9,1.0,1.9,.059,,,,,1963-1964,3.0
191,Adrian Smith,SG,28,CIN,80,2745,12.9,.519,,.337,,,,11.9,,,,,5.0,1.1,6.1,.106,,,,,1964-1965,4.0
192,Adrian Smith,SG,29,CIN,80,2982,12.4,.483,,.366,,,,11.3,,,,,2.9,1.5,4.4,.071,,,,,1965-1966,5.0
199,Al Attles*,PG,24,PHW,77,1544,8.8,.440,,.298,,,,,,,,,0.4,1.5,1.9,.058,,,,,1960-1961,1.0
200,Al Attles*,PG,25,PHW,75,2468,10.9,.501,,.369,,,,,,,,,2.8,2.4,5.2,.101,,,,,1961-1962,2.0
201,Al Attles*,PG,26,SFW,71,1876,10.6,.510,,.327,,,,,,,,,2.2,1.2,3.4,.086,,,,,1962-1963,3.0
202,Al Attles*,PG,27,SFW,70,1883,12.6,.501,,.430,,,,,,,,,2.6,2.8,5.3,.136,,,,,1963-1964,4.0
203,Al Attles*,PG,28,SFW,73,1733,10.8,.434,,.414,,,,16.6,,,,,-0.2,1.9,1.7,.048,,,,,1964-1965,5.0
210,Al Bianchi,PG,24,SYR,68,1577,9.7,.419,,.422,,,,,,,,,0.2,1.3,1.5,.046,,,,,1956-1957,1.0
211,Al Bianchi,SG,25,SYR,69,1421,9.6,.398,,.328,,,,,,,,,-0.6,1.3,0.8,.026,,,,,1957-1958,2.0
212,Al Bianchi,PG,26,SYR,72,1779,9.5,.425,,.272,,,,,,,,,0.3,1.5,1.8,.048,,,,,1958-1959,3.0
213,Al Bianchi,PG,27,SYR,69,1256,9.6,.412,,.269,,,,,,,,,-0.4,1.1,0.8,.030,,,,,1959-1960,4.0
214,Al Bianchi,PG,28,SYR,52,667,8.8,.389,,.254,,,,,,,,,-0.8,0.6,-0.1,-0.010,,,,,1960-1961,5.0
233,Al Ferrari,SF,22,STL,68,1611,9.9,.428,,.442,,,,,,,,,0.4,1.6,1.9,.057,,,,,1955-1956,1.0
234,Al Ferrari,SG,25,STL,72,1189,9.7,.437,,.517,,,,,,,,,0.6,0.9,1.4,.058,,,,,1958-1959,2.0
235,Al Ferrari,SG,26,STL,71,1567,11.2,.489,,.430,,,,,,,,,2.3,1.0,3.3,.100,,,,,1959-1960,3.0
236,Al Ferrari,SG,27,STL,63,1031,8.5,.434,,.354,,,,,,,,,0.2,1.2,1.4,.066,,,,,1960-1961,4.0
237,Al Ferrari,SG,28,STL,79,2046,8.3,.436,,.376,,,,,,,,,0.1,0.7,0.9,.020,,,,,1961-1962,5.0
243,Al Harrington,PF,18,IND,21,160,6.4,.359,.089,.268,15.1,13.8,14.5,5.2,1.4,0.9,14.9,22.0,-0.3,0.1,-0.2,-0.049,-6.2,-2.8,-9.0,-0.3,1998-1999,1.0
244,Al Harrington,PF,19,IND,50,854,10.8,.524,.129,.420,6.4,14.2,10.4,7.1,1.5,0.7,17.2,20.1,0.1,0.9,1.0,.057,-3.3,-0.1,-3.4,-0.3,1999-2000,2.0
245,Al Harrington,PF,20,IND,78,1892,10.2,.479,.013,.289,7.4,15.2,11.4,11.8,1.8,0.7,19.5,18.8,-1.0,2.2,1.2,.031,-3.3,-0.1,-3.4,-0.7,2000-2001,3.0
246,Al Harrington,PF,21,IND,44,1313,14.3,.526,.006,.298,8.5,15.1,11.9,7.3,1.6,1.1,12.5,21.6,1.2,1.4,2.6,.094,-1.5,-0.4,-1.9,0.0,2001-2002,4.0
247,Al Harrington,SF,22,IND,82,2467,12.4,.493,.051,.306,7.4,15.7,11.6,8.8,1.5,1.0,13.8,21.6,0.7,3.2,3.9,.075,-2.3,-0.5,-2.8,-0.5,2002-2003,5.0
261,Al Horford,C,21,ATL,81,2540,14.7,.539,.007,.317,11.4,24.5,18.0,7.9,1.2,2.2,15.3,16.0,2.4,3.0,5.5,.103,-1.2,-0.3,-1.6,0.3,2007-2008,1.0
262,Al Horford,C,22,ATL,67,2242,17.0,.565,.002,.345,7.6,25.0,16.3,11.9,1.3,3.3,13.1,16.4,3.3,3.5,6.8,.145,0.2,1.5,1.7,2.1,2008-2009,2.0
263,Al Horford,C,23,ATL,81,2845,19.4,.594,.001,.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,.183,1.8,0.5,2.3,3.1,2009-2010,3.0
264,Al Horford,C,24,ATL,77,2704,20.7,.587,.004,.204,8.2,23.7,16.0,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,.179,2.5,1.1,3.6,3.9,2010-2011,4.0
265,Al Horford,C,25,ATL,11,348,19.0,.585,.010,.291,8.8,17.1,13.0,11.7,1.5,3.1,12.1,17.9,0.8,0.6,1.3,.180,1.8,1.5,3.4,0.5,2011-2012,5.0
277,Al Jefferson,PF,20,BOS,71,1051,16.6,.554,.008,.366,13.5,21.0,17.3,3.9,1.1,3.9,13.3,21.2,1.3,1.4,2.7,.123,-1.7,-0.6,-2.3,-0.1,2004-2005,1.0
278,Al Jefferson,PF,21,BOS,59,1062,16.2,.530,.011,.354,11.4,22.6,17.2,5.0,1.5,3.3,12.4,21.6,0.9,1.5,2.3,.105,-1.7,-0.4,-2.1,0.0,2005-2006,2.0
279,Al Jefferson,C,22,BOS,69,2319,19.8,.547,.001,.334,12.0,27.4,19.5,7.2,1.1,3.5,11.8,22.4,3.3,3.3,6.6,.137,1.0,-0.3,0.7,1.6,2006-2007,3.0
280,Al Jefferson,C,23,MIN,82,2919,22.7,.535,.003,.273,11.9,24.7,18.1,7.5,1.3,3.2,9.4,27.5,4.8,2.9,7.7,.127,2.8,-1.2,1.6,2.6,2007-2008,4.0
281,Al Jefferson,C,24,MIN,50,1836,23.1,.532,.004,.258,10.6,24.9,17.5,8.8,1.1,3.5,7.8,28.9,2.9,2.0,4.9,.128,3.2,-0.6,2.6,2.1,2008-2009,5.0
308,Al Wood,SG,23,TOT,48,930,13.2,.524,.063,.312,6.3,10.7,8.4,9.1,1.6,0.6,14.1,22.5,0.5,0.4,0.9,.046,-0.9,-1.5,-2.4,-0.1,1981-1982,1.0
309,Al Wood,SF,24,SDC,76,1822,13.0,.509,.068,.218,5.6,9.5,7.4,10.1,1.4,1.2,12.0,19.7,1.9,0.4,2.3,.061,-0.1,-1.6,-1.7,0.1,1982-1983,2.0
310,Al Wood,SG,25,SEA,81,2236,14.9,.545,.022,.287,4.8,9.2,7.0,11.2,1.4,0.8,10.6,22.1,2.7,1.7,4.4,.094,-0.2,-0.7,-0.9,0.6,1983-1984,3.0
311,Al Wood,SG,26,SEA,80,2545,14.3,.521,.031,.202,4.5,8.2,6.4,14.7,1.6,1.2,9.4,21.0,2.2,2.1,4.2,.080,0.0,-0.1,-0.1,1.2,1984-1985,4.0
312,Al Wood,SG,27,SEA,78,1749,13.5,.489,.045,.293,5.3,11.4,8.3,10.3,1.6,0.7,10.4,24.6,0.7,1.8,2.5,.068,-0.8,-0.7,-1.5,0.2,1985-1986,5.0
314,Al-Farouq Aminu,SF,20,LAC,81,1452,9.6,.499,.352,.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,.022,-2.7,-0.1,-2.8,-0.3,2010-2011,1.0
315,Al-Farouq Aminu,SF,21,NOH,66,1477,10.6,.481,.129,.312,7.8,16.9,12.4,7.2,2.2,1.9,18.0,16.2,-0.4,1.8,1.4,.044,-2.9,0.7,-2.2,-0.1,2011-2012,2.0
316,Al-Farouq Aminu,SF,22,NOH,76,2066,13.7,.519,.040,.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,.073,-1.3,1.2,-0.1,1.0,2012-2013,3.0
317,Al-Farouq Aminu,SF,23,NOP,80,2045,13.2,.516,.097,.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,.072,-0.9,0.3,-0.6,0.7,2013-2014,4.0
318,Al-Farouq Aminu,SF,24,DAL,74,1366,14.4,.504,.347,.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,1.2,2.0,3.3,.115,-0.7,1.5,0.7,1.0,2014-2015,5.0
325,Alaa Abdelnaby,PF,22,POR,43,290,13.1,.499,.000,.379,10.4,23.4,17.0,5.8,0.7,2.5,14.0,22.1,0.0,0.5,0.5,.079,-3.4,-1.2,-4.6,-0.2,1990-1991,1.0
326,Alaa Abdelnaby,PF,23,POR,71,934,13.5,.533,.000,.280,9.5,20.9,15.2,4.7,1.3,1.1,14.0,20.6,0.6,1.5,2.1,.110,-2.3,-0.4,-2.6,-0.1,1991-1992,2.0
327,Alaa Abdelnaby,PF,24,TOT,75,1311,13.2,.551,.002,.245,11.0,18.1,14.6,3.0,1.0,1.2,15.6,20.5,0.7,1.3,2.0,.074,-2.4,-1.5,-3.9,-0.6,1992-1993,3.0
328,Alaa Abdelnaby,PF,25,BOS,13,159,9.2,.485,.000,.455,8.5,24.2,16.3,2.7,0.6,1.2,20.5,22.6,-0.2,0.1,-0.1,-0.032,-5.3,-2.2,-7.4,-0.2,1993-1994,4.0
329,Alaa Abdelnaby,PF,26,TOT,54,506,12.6,.519,.009,.152,8.7,17.4,13.1,5.0,1.5,1.8,15.4,25.6,-0.4,0.7,0.3,.027,-4.4,0.1,-4.3,-0.3,1994-1995,5.0
330,Alan Anderson,SF,23,CHA,36,564,10.4,.520,.320,.227,4.4,10.3,7.2,9.3,1.0,0.6,13.9,18.2,0.2,0.3,0.4,.037,-1.7,-1.7,-3.3,-0.2,2005-2006,1.0
331,Alan Anderson,SG,24,CHA,17,256,10.1,.538,.247,.284,4.9,10.0,7.4,13.8,1.4,0.0,19.4,20.1,0.0,0.1,0.1,.024,-3.4,-1.1,-4.5,-0.2,2006-2007,2.0
332,Alan Anderson,SF,29,TOR,17,461,8.7,.519,.430,.239,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,0.1,0.2,0.3,.032,-1.7,-1.3,-3.0,-0.1,2011-2012,3.0
333,Alan Anderson,SF,30,TOR,65,1495,12.6,.509,.463,.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0.8,0.8,1.6,.052,-0.5,-1.3,-1.8,0.1,2012-2013,4.0
334,Alan Anderson,SF,31,BRK,78,1773,9.5,.525,.511,.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.8,0.9,1.7,.047,-1.8,-1.0,-2.8,-0.4,2013-2014,5.0
340,Alan Henderson,PF,23,ATL,79,1416,12.9,.482,.007,.461,13.2,16.7,14.9,5.8,1.7,2.4,14.3,19.3,0.5,1.6,2.0,.069,-3.2,-0.9,-4.1,-0.8,1995-1996,1.0
341,Alan Henderson,PF,24,ATL,30,501,15.0,.510,.000,.463,11.4,16.1,13.8,8.3,2.3,0.9,12.9,21.1,0.5,0.9,1.3,.126,-2.3,0.0,-2.4,0.0,1996-1997,2.0
342,Alan Henderson,PF,25,ATL,69,2000,18.4,.534,.008,.515,12.2,13.8,13.0,6.7,1.1,1.3,10.6,23.9,4.2,1.8,6.0,.144,1.4,-1.9,-0.5,0.8,1997-1998,3.0
343,Alan Henderson,SF,26,ATL,38,1142,16.0,.485,.002,.352,10.3,15.3,12.8,5.2,1.6,1.2,10.6,22.5,1.2,1.9,3.1,.131,0.3,0.3,0.6,0.8,1998-1999,4.0
344,Alan Henderson,PF,27,ATL,82,2775,14.7,.503,.011,.359,10.5,12.1,11.3,4.6,1.5,1.3,11.4,19.4,2.9,1.4,4.3,.074,-0.4,-1.2,-1.6,0.3,1999-2000,5.0
