,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,name
1,1984-85,30.0,UTA,NBA,PG,10.0,10.0,30.2,5.7,10.6,0.538,0.1,0.7,0.143,5.6,9.9,0.566,0.542,3.5,3.8,0.921,1.0,2.0,3.0,7.5,1.2,0.0,2.0,2.3,15.0,Rickey Green
2,1985-86,31.0,UTA,NBA,PG,4.0,4.0,29.8,5.3,10.8,0.488,0.3,0.5,0.5,5.0,10.3,0.488,0.5,2.5,2.8,0.909,0.0,2.3,2.3,9.5,0.5,0.0,1.3,0.3,13.3,Rickey Green
3,1986-87,32.0,UTA,NBA,PG,4.0,3.0,18.0,2.8,5.8,0.478,0.0,0.3,0.0,2.8,5.5,0.5,0.478,1.3,1.5,0.833,0.3,1.8,2.0,6.3,0.5,0.0,1.8,1.3,6.8,Rickey Green
4,1987-88,33.0,UTA,NBA,PG,7.0,0.0,5.4,0.3,1.1,0.25,0.0,0.0,,0.3,1.1,0.25,0.25,0.0,0.0,,0.0,0.1,0.1,1.3,0.3,0.0,0.4,0.3,0.6,Rickey Green
5,1988-89,34.0,MIL,NBA,PG,8.0,0.0,13.8,1.5,3.6,0.414,0.1,0.3,0.5,1.4,3.4,0.407,0.431,0.5,0.5,1.0,0.4,1.3,1.6,2.3,0.6,0.0,0.5,1.1,3.6,Rickey Green
6,1989-90,35.0,IND,NBA,PG,3.0,0.0,10.3,0.3,2.3,0.143,0.0,0.0,,0.3,2.3,0.143,0.143,0.0,0.0,,0.0,0.3,0.3,1.0,0.3,0.0,0.7,1.7,0.7,Rickey Green
7,1990-91,36.0,PHI,NBA,PG,8.0,8.0,24.9,3.0,6.9,0.436,0.4,0.5,0.75,2.6,6.4,0.412,0.464,1.0,1.1,0.889,0.1,1.0,1.1,2.8,0.9,0.0,1.6,1.1,7.4,Rickey Green
0,1997-98,20.0,PHO,NBA,SF,2.0,0.0,2.0,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,2.0,Marko Milic
0,1984-85,22.0,POR,NBA,SF,8.0,0.0,7.5,2.0,3.9,0.516,0.0,0.0,,2.0,3.9,0.516,0.516,0.8,1.0,0.75,0.6,0.5,1.1,0.8,0.9,0.3,0.3,1.4,4.8,Jerome Kersey
1,1985-86,23.0,POR,NBA,SF,4.0,0.0,14.0,2.3,5.5,0.409,0.0,0.3,0.0,2.3,5.3,0.429,0.409,1.0,1.0,1.0,1.8,2.0,3.8,1.0,0.3,1.0,1.5,3.3,5.5,Jerome Kersey
2,1986-87,24.0,POR,NBA,SF,4.0,0.0,15.0,2.5,6.3,0.4,0.0,0.0,,2.5,6.3,0.4,0.4,1.0,1.0,1.0,1.5,3.3,4.8,0.8,1.3,0.3,1.5,3.3,6.0,Jerome Kersey
3,1987-88,25.0,POR,NBA,SF,4.0,4.0,31.8,8.0,16.3,0.492,0.0,0.3,0.0,8.0,16.0,0.5,0.492,3.8,5.3,0.714,4.3,3.3,7.5,2.3,1.8,1.0,1.3,4.3,19.8,Jerome Kersey
4,1988-89,26.0,POR,NBA,SF,3.0,3.0,39.0,7.7,15.7,0.489,0.0,0.7,0.0,7.7,15.0,0.511,0.489,5.0,6.3,0.789,3.7,4.3,8.0,2.3,3.3,0.3,1.3,4.0,20.3,Jerome Kersey
5,1989-90,27.0,POR,NBA,SF,21.0,21.0,39.6,7.9,17.2,0.46,0.0,0.1,0.0,7.9,17.0,0.464,0.46,4.9,6.9,0.715,3.1,5.1,8.3,2.1,1.6,1.0,2.1,4.1,20.7,Jerome Kersey
6,1990-91,28.0,POR,NBA,SF,16.0,16.0,36.8,6.6,14.1,0.465,0.0,0.0,,6.6,14.1,0.465,0.465,4.8,6.3,0.752,3.3,3.7,6.9,3.1,1.8,0.4,1.1,4.3,17.9,Jerome Kersey
7,1991-92,29.0,POR,NBA,SF,21.0,21.0,36.0,6.2,12.2,0.51,0.0,0.1,0.0,6.2,12.1,0.516,0.51,3.8,5.4,0.693,2.8,4.9,7.7,3.6,2.0,0.9,2.5,4.0,16.2,Jerome Kersey
8,1992-93,30.0,POR,NBA,SF,4.0,1.0,24.5,5.5,10.5,0.524,0.3,0.3,1.0,5.3,10.3,0.512,0.536,3.0,4.3,0.706,2.5,6.0,8.5,1.0,1.0,0.5,0.5,3.8,14.3,Jerome Kersey
9,1993-94,31.0,POR,NBA,SF,3.0,0.0,12.7,1.7,5.3,0.313,0.0,0.0,,1.7,5.3,0.313,0.313,0.3,1.7,0.2,1.7,1.3,3.0,0.0,0.3,0.3,0.0,1.7,3.7,Jerome Kersey
10,1994-95,32.0,POR,NBA,SF,3.0,0.0,21.0,5.3,9.3,0.571,0.0,0.7,0.0,5.3,8.7,0.615,0.571,2.0,3.0,0.667,0.7,2.0,2.7,1.0,1.0,0.3,0.0,3.7,12.7,Jerome Kersey
11,1996-97,34.0,LAL,NBA,SF,9.0,0.0,23.3,1.9,3.9,0.486,0.0,0.1,0.0,1.9,3.8,0.5,0.486,1.7,2.1,0.789,1.6,3.8,5.3,1.6,1.0,0.7,0.3,3.8,5.4,Jerome Kersey
12,1997-98,35.0,SEA,NBA,SF,10.0,5.0,21.3,3.1,7.2,0.431,0.0,0.3,0.0,3.1,6.9,0.449,0.431,1.6,1.9,0.842,1.7,2.3,4.0,0.9,1.0,1.0,1.3,3.2,7.8,Jerome Kersey
13,1998-99,36.0,SAS,NBA,SF,14.0,0.0,10.9,1.1,3.1,0.349,0.1,0.3,0.25,1.0,2.8,0.359,0.36,0.4,0.5,0.714,0.7,1.4,2.1,0.3,0.4,0.1,0.4,1.4,2.6,Jerome Kersey
14,1999-00,37.0,SAS,NBA,SF,2.0,0.0,12.5,0.5,3.5,0.143,0.0,0.0,,0.5,3.5,0.143,0.143,0.0,0.0,,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.5,1.0,Jerome Kersey
0,2012-13,19.0,CHI,NBA,PG,8.0,0.0,9.0,0.6,2.1,0.294,0.0,0.6,0.0,0.6,1.5,0.417,0.294,0.0,0.0,,0.0,0.4,0.4,1.5,0.3,0.1,0.3,1.3,1.3,MaCio Teague
0,2002-03,23.0,ORL,NBA,SG,6.0,0.0,4.2,0.3,1.2,0.286,0.2,0.7,0.25,0.2,0.5,0.333,0.357,0.0,0.0,,0.2,0.7,0.8,0.2,0.2,0.2,0.2,0.2,0.8,Jeryl Sasser
0,1991-92,22.0,IND,NBA,PF,3.0,0.0,23.0,1.3,3.3,0.4,0.0,0.0,,1.3,3.3,0.4,0.4,0.0,0.0,,1.7,4.7,6.3,0.7,0.0,1.7,0.3,2.7,2.7,James Davis
1,1992-93,23.0,IND,NBA,PF,4.0,4.0,29.3,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.3,1.0,0.25,1.0,7.0,8.0,1.0,1.0,1.0,0.8,3.8,4.3,James Davis
2,1993-94,24.0,IND,NBA,PF,16.0,16.0,36.1,3.5,6.6,0.528,0.0,0.1,0.0,3.5,6.6,0.533,0.528,0.7,2.3,0.306,3.9,6.0,9.9,0.7,1.1,1.1,1.9,3.3,7.7,James Davis
3,1994-95,25.0,IND,NBA,PF,17.0,17.0,28.8,3.3,6.2,0.533,0.0,0.0,,3.3,6.2,0.533,0.533,1.4,2.8,0.489,3.1,4.9,8.0,0.4,0.4,0.8,1.3,3.3,7.9,James Davis
4,1995-96,26.0,IND,NBA,PF,5.0,5.0,36.8,3.2,6.2,0.516,0.0,0.0,,3.2,6.2,0.516,0.516,0.8,2.2,0.364,4.0,7.2,11.2,0.8,0.6,1.2,2.0,3.2,7.2,James Davis
5,1997-98,28.0,IND,NBA,C,16.0,16.0,29.1,3.5,5.4,0.651,0.0,0.0,,3.5,5.4,0.651,0.651,1.8,4.0,0.453,2.8,4.8,7.5,0.8,0.3,1.1,1.3,2.6,8.8,James Davis
6,1998-99,29.0,IND,NBA,PF,13.0,13.0,30.3,3.5,5.9,0.584,0.0,0.0,,3.5,5.9,0.584,0.584,2.2,3.8,0.56,3.5,6.7,10.2,0.8,0.8,1.4,1.6,3.2,9.1,James Davis
7,1999-00,30.0,IND,NBA,C,23.0,23.0,31.0,3.4,6.6,0.523,0.0,0.0,,3.4,6.6,0.523,0.523,1.4,2.6,0.542,3.6,7.8,11.4,0.7,0.5,1.3,0.8,3.6,8.3,James Davis
8,2000-01,31.0,POR,NBA,C,2.0,0.0,10.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.5,1.5,0.5,2.0,0.0,0.5,0.0,0.5,3.5,0.5,James Davis
9,2001-02,32.0,POR,NBA,C,3.0,3.0,23.3,1.0,3.7,0.273,0.0,0.0,,1.0,3.7,0.273,0.273,0.3,0.7,0.5,2.0,4.7,6.7,1.3,1.3,1.0,0.7,5.3,2.3,James Davis
10,2002-03,33.0,POR,NBA,C,6.0,6.0,27.0,2.3,4.0,0.583,0.0,0.0,,2.3,4.0,0.583,0.583,2.8,4.3,0.654,3.3,4.7,8.0,1.5,0.8,0.3,1.7,1.8,7.5,James Davis
11,2004-05,35.0,IND,NBA,C,13.0,13.0,23.9,2.0,4.5,0.448,0.0,0.0,,2.0,4.5,0.448,0.448,1.3,1.9,0.68,2.8,3.4,6.2,0.4,0.7,0.5,0.7,2.7,5.3,James Davis
12,2005-06,36.0,DET,NBA,C,8.0,0.0,4.5,0.0,0.8,0.0,0.0,0.0,,0.0,0.8,0.0,0.0,0.3,0.5,0.5,0.1,1.0,1.1,0.1,0.0,0.0,0.4,1.4,0.3,James Davis
13,2006-07,37.0,DET,NBA,C,8.0,0.0,6.4,0.4,1.0,0.375,0.0,0.0,,0.4,1.0,0.375,0.375,0.3,0.5,0.5,0.6,0.9,1.5,0.1,0.3,0.3,0.3,1.8,1.0,James Davis
0,2019-20,23.0,UTA,NBA,PG,3.0,0.0,11.3,1.7,4.7,0.357,0.7,1.0,0.667,1.0,3.7,0.273,0.429,0.3,0.7,0.5,0.3,1.7,2.0,0.7,0.0,0.3,0.3,0.0,4.3,Emmanuel Mudiay
0,1975-76,22.0,MIL,NBA,SF,3.0,,22.3,3.0,6.7,0.45,,,,3.0,6.7,0.45,0.45,2.3,3.7,0.636,1.3,2.3,3.7,1.7,0.3,0.0,,3.3,8.3,Junior Bridgeman
1,1977-78,24.0,MIL,NBA,SF,9.0,,19.8,4.9,10.1,0.484,,,,4.9,10.1,0.484,0.484,0.7,0.9,0.75,0.7,1.3,2.0,1.2,1.0,0.2,0.9,3.4,10.4,Junior Bridgeman
2,1979-80,26.0,MIL,NBA,SF,5.0,,24.8,4.0,11.2,0.357,0.0,0.2,0.0,4.0,11.0,0.364,0.357,2.2,3.0,0.733,0.8,3.0,3.8,3.4,1.0,0.4,2.8,3.4,10.2,Junior Bridgeman
3,1980-81,27.0,MIL,NBA,SF,7.0,,26.1,6.0,13.0,0.462,0.1,0.1,1.0,5.9,12.9,0.456,0.467,1.9,2.3,0.813,0.9,1.3,2.1,3.3,0.9,0.0,1.6,3.9,14.0,Junior Bridgeman
4,1982-83,29.0,MIL,NBA,SF,9.0,,34.2,6.8,14.4,0.469,0.2,0.6,0.4,6.6,13.9,0.472,0.477,3.1,3.3,0.933,2.3,2.7,5.0,3.1,1.1,0.2,2.1,2.9,16.9,Junior Bridgeman
5,1983-84,30.0,MIL,NBA,SF,16.0,,31.2,5.5,12.1,0.456,0.1,0.6,0.111,5.4,11.5,0.473,0.459,3.3,4.1,0.815,0.8,3.3,4.0,2.8,0.4,0.3,1.4,2.3,14.4,Junior Bridgeman
0,1983-84,23.0,UTA,NBA,SG,4.0,,4.5,0.5,1.8,0.286,0.5,0.8,0.667,0.0,1.0,0.0,0.429,0.3,0.5,0.5,0.5,1.3,1.8,0.5,0.0,0.0,0.5,1.0,1.8,Bob Hansen
1,1984-85,24.0,UTA,NBA,SG,8.0,0.0,4.3,0.3,1.0,0.25,0.0,0.0,,0.3,1.0,0.25,0.25,0.6,1.0,0.625,0.1,0.4,0.5,0.8,0.4,0.0,0.4,0.8,1.1,Bob Hansen
2,1985-86,25.0,UTA,NBA,SG,4.0,4.0,35.0,6.8,9.3,0.73,0.5,0.8,0.667,6.3,8.5,0.735,0.757,2.0,2.3,0.889,2.5,2.0,4.5,2.8,0.8,0.3,1.8,4.0,16.0,Bob Hansen
3,1986-87,26.0,UTA,NBA,SG,5.0,5.0,28.4,4.2,9.8,0.429,0.4,1.0,0.4,3.8,8.8,0.432,0.449,3.4,4.0,0.85,0.6,2.4,3.0,2.2,0.2,0.2,1.4,2.8,12.2,Bob Hansen
4,1987-88,27.0,UTA,NBA,SG,11.0,11.0,37.1,6.1,12.3,0.496,1.7,3.3,0.528,4.4,9.0,0.485,0.567,1.5,2.0,0.727,0.7,2.8,3.5,2.9,0.6,0.0,2.5,3.8,15.4,Bob Hansen
5,1988-89,28.0,UTA,NBA,SG,3.0,3.0,41.0,3.7,11.7,0.314,1.0,3.0,0.333,2.7,8.7,0.308,0.357,2.7,3.3,0.8,1.7,4.0,5.7,1.3,0.3,0.7,2.0,5.0,11.0,Bob Hansen
6,1989-90,29.0,UTA,NBA,SG,5.0,5.0,29.0,4.2,8.6,0.488,1.4,2.8,0.5,2.8,5.8,0.483,0.57,0.2,0.8,0.25,1.4,1.4,2.8,1.0,0.6,0.0,0.8,2.8,10.0,Bob Hansen
7,1991-92,31.0,CHI,NBA,SG,9.0,0.0,7.7,1.0,2.4,0.409,0.3,0.7,0.5,0.7,1.8,0.375,0.477,0.1,0.3,0.333,0.4,0.6,1.0,1.1,0.1,0.0,0.2,1.1,2.4,Bob Hansen
0,2006-07,21.0,CLE,NBA,SG,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shannon Brown
1,2008-09,23.0,LAL,NBA,SG,21.0,0.0,13.1,1.7,4.0,0.434,0.6,1.2,0.48,1.1,2.8,0.414,0.506,0.9,1.1,0.792,0.4,0.8,1.2,0.6,0.5,0.1,0.5,1.3,4.9,Shannon Brown
2,2009-10,24.0,LAL,NBA,SG,23.0,0.0,14.1,1.8,4.7,0.393,0.4,1.4,0.281,1.4,3.3,0.44,0.435,0.9,1.2,0.714,0.3,1.0,1.3,0.9,0.4,0.3,0.6,1.6,4.9,Shannon Brown
3,2010-11,25.0,LAL,NBA,SG,10.0,0.0,16.6,2.8,6.1,0.459,0.7,2.5,0.28,2.1,3.6,0.583,0.516,0.9,1.4,0.643,0.5,1.4,1.9,0.7,0.6,0.2,0.9,1.0,7.2,Shannon Brown
0,2002-03,22.0,NJN,NBA,SG,6.0,0.0,1.8,0.2,0.7,0.25,0.2,0.2,1.0,0.0,0.5,0.0,0.375,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,Tamar Slay
1,2003-04,23.0,NJN,NBA,SG,6.0,0.0,2.0,0.2,0.8,0.2,0.0,0.2,0.0,0.2,0.7,0.25,0.2,0.3,0.3,1.0,0.0,0.3,0.3,0.0,0.2,0.0,0.0,0.0,0.7,Tamar Slay
0,2008-09,27.0,PHI,NBA,SG,6.0,0.0,7.5,0.5,1.8,0.273,0.3,1.2,0.286,0.2,0.7,0.25,0.364,0.5,0.7,0.75,0.2,0.5,0.7,0.0,0.5,0.0,0.0,1.0,1.8,Royal Ivey
1,2009-10,28.0,MIL,NBA,SG,3.0,0.0,3.7,0.7,2.0,0.333,0.0,0.7,0.0,0.7,1.3,0.5,0.333,0.0,0.0,,0.0,0.0,0.0,0.7,0.0,0.3,0.3,0.3,1.3,Royal Ivey
2,2010-11,29.0,OKC,NBA,SG,2.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,3.0,Royal Ivey
3,2011-12,30.0,OKC,NBA,SG,5.0,0.0,4.2,0.8,2.2,0.364,0.4,1.0,0.4,0.4,1.2,0.333,0.455,0.2,0.4,0.5,0.2,0.4,0.6,0.2,0.4,0.0,0.2,0.4,2.2,Royal Ivey
0,2012-13,21.0,ATL,NBA,SG,4.0,0.0,6.0,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.8,0.0,0.0,0.5,0.5,0.0,John Jenkins
1,2014-15,23.0,ATL,NBA,SG,4.0,0.0,5.3,1.0,1.5,0.667,0.5,1.0,0.5,0.5,0.5,1.0,0.833,0.0,0.0,,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.5,2.5,John Jenkins
0,1995-96,22.0,UTA,NBA,C,15.0,0.0,14.1,1.3,3.0,0.444,0.0,0.0,,1.3,3.0,0.444,0.444,0.9,1.4,0.619,1.2,2.1,3.3,0.1,0.1,1.4,0.3,1.9,3.5,Greg Ostertag
1,1996-97,23.0,UTA,NBA,C,20.0,20.0,23.0,1.7,4.2,0.41,0.0,0.0,,1.7,4.2,0.41,0.41,1.3,1.8,0.743,2.6,4.3,6.9,0.3,0.5,2.4,0.9,3.8,4.7,Greg Ostertag
2,1997-98,24.0,UTA,NBA,C,19.0,1.0,17.7,1.4,2.4,0.565,0.0,0.0,,1.4,2.4,0.565,0.565,0.6,1.3,0.48,1.3,2.9,4.3,0.3,0.4,1.9,0.6,2.7,3.4,Greg Ostertag
3,1998-99,25.0,UTA,NBA,C,11.0,11.0,23.7,1.2,3.2,0.371,0.0,0.0,,1.2,3.2,0.371,0.371,1.6,2.5,0.643,1.6,4.3,5.9,0.5,0.2,2.2,0.7,2.5,4.0,Greg Ostertag
4,1999-00,26.0,UTA,NBA,C,8.0,0.0,21.5,1.3,2.4,0.526,0.0,0.0,,1.3,2.4,0.526,0.526,1.3,2.8,0.455,2.4,3.3,5.6,0.3,0.3,2.1,1.0,2.5,3.8,Greg Ostertag
5,2000-01,27.0,UTA,NBA,C,5.0,0.0,12.8,0.8,2.2,0.364,0.0,0.0,,0.8,2.2,0.364,0.364,0.0,0.8,0.0,1.2,2.4,3.6,0.2,0.0,0.4,0.4,2.0,1.6,Greg Ostertag
6,2001-02,28.0,UTA,NBA,C,4.0,0.0,21.8,3.3,5.3,0.619,0.0,0.0,,3.3,5.3,0.619,0.619,0.3,2.5,0.1,4.8,3.8,8.5,0.5,0.5,1.5,1.5,3.5,6.8,Greg Ostertag
7,2002-03,29.0,UTA,NBA,C,5.0,5.0,30.2,3.2,7.2,0.444,0.0,0.0,,3.2,7.2,0.444,0.444,2.8,3.8,0.737,3.8,4.8,8.6,1.6,0.6,1.8,1.6,3.4,9.2,Greg Ostertag
8,2004-05,31.0,SAC,NBA,C,2.0,0.0,13.0,1.5,1.5,1.0,0.0,0.0,,1.5,1.5,1.0,1.0,0.0,0.0,,2.0,2.5,4.5,0.0,0.5,1.0,1.0,2.0,3.0,Greg Ostertag
0,1991-92,24.0,NYK,NBA,PG,12.0,0.0,17.8,1.6,3.8,0.413,0.4,1.0,0.417,1.2,2.8,0.412,0.467,1.7,2.8,0.606,0.3,1.1,1.4,3.4,1.3,0.1,1.1,2.3,5.3,Greg Anthony
1,1992-93,25.0,NYK,NBA,PG,15.0,0.0,16.0,1.6,4.0,0.4,0.2,0.9,0.214,1.4,3.1,0.457,0.425,0.5,0.9,0.571,0.3,1.7,2.0,3.5,0.9,0.1,0.7,1.7,3.9,Greg Anthony
2,1993-94,26.0,NYK,NBA,PG,25.0,3.0,17.4,1.8,5.1,0.352,0.7,2.4,0.295,1.1,2.7,0.403,0.422,0.6,1.0,0.583,0.4,0.7,1.1,2.4,0.8,0.3,1.2,2.2,4.9,Greg Anthony
3,1994-95,27.0,NYK,NBA,PG,11.0,0.0,12.3,1.4,3.5,0.395,0.6,2.1,0.304,0.7,1.4,0.533,0.487,0.9,1.0,0.909,0.2,0.7,0.9,1.4,0.2,0.2,0.5,2.5,4.3,Greg Anthony
4,1997-98,30.0,SEA,NBA,PG,9.0,0.0,13.1,1.3,4.4,0.3,0.6,2.1,0.263,0.8,2.3,0.333,0.363,0.3,0.9,0.375,0.3,0.8,1.1,1.1,0.6,0.1,1.2,1.9,3.6,Greg Anthony
5,1998-99,31.0,POR,NBA,PG,13.0,0.0,17.3,1.4,4.2,0.327,0.6,2.4,0.258,0.8,1.8,0.417,0.4,1.8,2.6,0.676,0.3,0.8,1.1,2.5,1.0,0.1,0.7,1.9,5.2,Greg Anthony
6,1999-00,32.0,POR,NBA,PG,15.0,0.0,14.2,1.3,3.5,0.365,0.7,2.1,0.323,0.6,1.4,0.429,0.462,0.8,1.1,0.75,0.1,0.9,1.1,1.7,0.9,0.3,0.8,1.8,4.0,Greg Anthony
7,2000-01,33.0,POR,NBA,PG,2.0,0.0,8.5,1.0,3.0,0.333,0.5,1.5,0.333,0.5,1.5,0.333,0.417,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,2.5,Greg Anthony
0,2013-14,24.0,TOR,NBA,SG,7.0,7.0,40.3,6.4,16.7,0.385,0.9,2.6,0.333,5.6,14.1,0.394,0.41,10.1,11.3,0.899,0.4,3.7,4.1,3.6,1.1,0.3,2.6,3.3,23.9,DeMar DeRozan
1,2014-15,25.0,TOR,NBA,SG,4.0,4.0,39.8,8.0,20.0,0.4,0.8,2.0,0.375,7.3,18.0,0.403,0.419,3.5,4.3,0.824,1.3,5.0,6.3,5.8,1.5,0.0,2.5,3.0,20.3,DeMar DeRozan
2,2015-16,26.0,TOR,NBA,SG,20.0,20.0,37.3,7.9,19.9,0.394,0.2,1.3,0.154,7.7,18.6,0.411,0.399,5.0,6.2,0.813,0.7,3.5,4.2,2.7,1.1,0.2,2.3,2.6,20.9,DeMar DeRozan
3,2016-17,27.0,TOR,NBA,SG,10.0,10.0,37.3,7.6,17.5,0.434,0.1,1.5,0.067,7.5,16.0,0.469,0.437,7.1,8.0,0.888,0.4,4.5,4.9,3.4,1.4,0.0,2.5,2.6,22.4,DeMar DeRozan
4,2017-18,28.0,TOR,NBA,SG,10.0,10.0,35.4,8.7,19.9,0.437,1.0,3.5,0.286,7.7,16.4,0.47,0.462,4.3,5.3,0.811,0.6,3.0,3.6,4.0,0.5,0.6,2.3,2.4,22.7,DeMar DeRozan
5,2018-19,29.0,SAS,NBA,SG,7.0,7.0,35.9,8.3,17.0,0.487,0.0,0.1,0.0,8.3,16.9,0.492,0.487,5.4,6.3,0.864,1.4,5.3,6.7,4.6,1.1,0.1,1.7,2.3,22.0,DeMar DeRozan
0,2008-09,22.0,POR,NBA,PG,5.0,0.0,5.4,0.4,1.2,0.333,0.0,0.0,,0.4,1.2,0.333,0.333,0.0,0.0,,0.2,0.4,0.6,1.4,0.0,0.2,0.4,1.0,0.8,Sergio Rodriguez
0,2014-15,23.0,CHI,NBA,PF,11.0,0.0,14.9,1.8,6.0,0.303,0.6,2.7,0.233,1.2,3.3,0.361,0.356,1.5,1.8,0.8,0.6,2.1,2.7,0.8,0.5,0.5,0.7,2.0,5.7,Nikola Mirotic
1,2016-17,25.0,CHI,NBA,PF,6.0,6.0,27.0,2.8,8.3,0.34,1.7,5.8,0.286,1.2,2.5,0.467,0.44,1.3,1.7,0.8,0.7,4.3,5.0,1.5,0.7,0.5,0.7,2.7,8.7,Nikola Mirotic
2,2017-18,26.0,NOP,NBA,PF,9.0,9.0,35.6,5.4,11.3,0.48,2.4,5.7,0.431,3.0,5.7,0.529,0.588,1.7,2.1,0.789,1.0,8.6,9.6,1.7,1.1,1.3,1.1,2.7,15.0,Nikola Mirotic
3,2018-19,27.0,MIL,NBA,PF,14.0,8.0,21.3,3.1,8.4,0.376,1.6,5.4,0.289,1.6,2.9,0.537,0.47,1.6,2.0,0.821,1.2,3.1,4.3,0.7,0.7,0.2,1.0,1.8,9.5,Nikola Mirotic
0,2007-08,22.0,NOH,NBA,PG,12.0,12.0,40.5,9.3,18.4,0.502,0.4,1.8,0.238,8.8,16.7,0.53,0.514,5.2,6.6,0.785,1.3,3.6,4.9,11.3,2.3,0.2,1.8,3.6,24.1,Chris Paul
1,2008-09,23.0,NOH,NBA,PG,5.0,5.0,40.2,6.0,14.6,0.411,1.0,3.2,0.313,5.0,11.4,0.439,0.445,3.6,4.2,0.857,0.8,3.6,4.4,10.4,1.6,0.0,4.8,1.6,16.6,Chris Paul
2,2010-11,25.0,NOH,NBA,PG,6.0,6.0,41.7,7.0,12.8,0.545,1.5,3.2,0.474,5.5,9.7,0.569,0.604,6.5,8.2,0.796,0.5,6.2,6.7,11.5,1.8,0.0,3.7,1.8,22.0,Chris Paul
3,2011-12,26.0,LAC,NBA,PG,11.0,11.0,38.5,6.4,14.9,0.427,1.2,3.5,0.333,5.2,11.4,0.456,0.466,3.7,4.3,0.872,0.5,4.5,5.1,7.9,2.7,0.1,3.9,2.7,17.6,Chris Paul
4,2012-13,27.0,LAC,NBA,PG,6.0,6.0,37.3,8.2,15.3,0.533,1.0,3.2,0.316,7.2,12.2,0.589,0.565,5.5,6.2,0.892,0.5,3.5,4.0,6.3,1.8,0.0,1.5,2.8,22.8,Chris Paul
5,2013-14,28.0,LAC,NBA,PG,13.0,13.0,36.3,7.1,15.2,0.467,2.5,5.4,0.457,4.6,9.8,0.472,0.548,3.2,4.1,0.774,0.9,3.3,4.2,10.3,2.8,0.0,3.0,3.8,19.8,Chris Paul
6,2014-15,29.0,LAC,NBA,PG,12.0,12.0,37.1,7.9,15.8,0.503,2.3,5.4,0.415,5.7,10.3,0.548,0.574,4.0,4.3,0.941,0.6,3.8,4.4,8.8,1.8,0.3,2.2,3.1,22.1,Chris Paul
7,2015-16,30.0,LAC,NBA,PG,4.0,4.0,31.3,9.3,19.0,0.487,1.5,5.0,0.3,7.8,14.0,0.554,0.526,3.8,3.8,1.0,1.0,3.0,4.0,7.3,2.3,0.0,1.0,3.0,23.8,Chris Paul
8,2016-17,31.0,LAC,NBA,PG,7.0,7.0,37.1,9.6,19.3,0.496,2.0,5.4,0.368,7.6,13.9,0.546,0.548,4.1,4.7,0.879,0.6,4.4,5.0,9.9,1.7,0.1,2.7,3.4,25.3,Chris Paul
9,2017-18,32.0,HOU,NBA,PG,15.0,15.0,34.5,7.9,17.1,0.459,2.5,6.6,0.374,5.4,10.5,0.513,0.531,2.9,3.5,0.83,0.6,5.3,5.9,5.8,2.0,0.3,1.9,3.1,21.1,Chris Paul
10,2018-19,33.0,HOU,NBA,PG,11.0,11.0,36.1,6.0,13.5,0.446,1.5,5.7,0.27,4.5,7.7,0.576,0.503,3.5,4.1,0.844,1.3,5.1,6.4,5.5,2.2,0.6,3.4,3.3,17.0,Chris Paul
11,2019-20,34.0,OKC,NBA,PG,7.0,7.0,37.3,7.9,16.0,0.491,2.3,6.1,0.372,5.6,9.9,0.565,0.563,3.3,3.7,0.885,0.4,7.0,7.4,5.3,1.6,0.4,3.3,2.6,21.3,Chris Paul
12,2020-21,35.0,PHO,NBA,PG,20.0,20.0,34.2,7.5,15.0,0.497,1.5,3.3,0.446,6.0,11.8,0.511,0.545,2.9,3.3,0.877,0.5,3.1,3.5,8.6,1.2,0.2,2.2,2.4,19.2,Chris Paul
0,2011-12,25.0,BOS,NBA,C,2.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,Sean Williams
